table_name,constraint_name,constraint_type,column_name,foreign_table,foreign_column,check_clause
trainingsessions,35901_36119_6_not_null,CHECK,null,null,null,coachid IS NOT NULL
trainingsessions,trainingsessions_coachid_fkey,FOREIGN KEY,coachid,users,userid,null
trainingsessions,trainingsessions_courtbookingid_fkey,FOREIGN KEY,courtbookingid,courtbooking,courtbookingid,null
trainingsessions,trainingsessions_pkey,PRIMARY KEY,sessionid,null,null,null
trainingsessions,trainingsessions_courtbookingid_key,UNIQUE,courtbookingid,null,null,null
tsbookings,35901_36140_1_not_null,CHECK,null,null,null,tsbookingid IS NOT NULL
tsbookings,35901_36140_2_not_null,CHECK,null,null,null,sessionid IS NOT NULL
tsbookings,35901_36140_4_not_null,CHECK,null,null,null,userid IS NOT NULL
tsbookings,35901_36140_5_not_null,CHECK,null,null,null,status IS NOT NULL
tsbookings,35901_36140_8_not_null,CHECK,null,null,null,bookingstatus IS NOT NULL
tsbookings,tsbookings_paymentid_fkey,FOREIGN KEY,paymentid,payments,paymentid,null
tsbookings,tsbookings_sessionid_fkey,FOREIGN KEY,sessionid,trainingsessions,sessionid,null
tsbookings,tsbookings_userid_fkey,FOREIGN KEY,userid,users,userid,null
tsbookings,tsbookings_pkey,PRIMARY KEY,tsbookingid,null,null,null
unverified_users,35901_61272_10_not_null,CHECK,null,null,null,phone_verified IS NOT NULL
unverified_users,35901_61272_1_not_null,CHECK,null,null,null,unverifiedid IS NOT NULL
unverified_users,35901_61272_4_not_null,CHECK,null,null,null,token_hash IS NOT NULL
unverified_users,35901_61272_5_not_null,CHECK,null,null,null,token_expires_at IS NOT NULL
unverified_users,35901_61272_6_not_null,CHECK,null,null,null,created_at IS NOT NULL
unverified_users,35901_61272_7_not_null,CHECK,null,null,null,resend_count IS NOT NULL
unverified_users,35901_61272_8_not_null,CHECK,null,null,null,email_verified IS NOT NULL
unverified_users,unverified_users_userid_fkey,FOREIGN KEY,userid,users,userid,null
unverified_users,unverified_users_pkey,PRIMARY KEY,unverifiedid,null,null,null
unverified_users,unverified_email_unique,UNIQUE,email,null,null,null
unverified_users,unverified_users_phone_key,UNIQUE,phone,null,null,null
user_auth_providers,35901_155785_1_not_null,CHECK,null,null,null,providerid IS NOT NULL
user_auth_providers,35901_155785_2_not_null,CHECK,null,null,null,userid IS NOT NULL
user_auth_providers,35901_155785_3_not_null,CHECK,null,null,null,provider IS NOT NULL
user_auth_providers,35901_155785_5_not_null,CHECK,null,null,null,created_at IS NOT NULL
user_auth_providers,user_auth_providers_provider_check,CHECK,null,null,null,"(provider = ANY (ARRAY['Local'::text, 'Google'::text, 'Zalo'::text, 'Phone'::text]))"
user_auth_providers,user_auth_providers_userid_fkey,FOREIGN KEY,userid,users,userid,null
user_auth_providers,user_auth_providers_pkey,PRIMARY KEY,providerid,null,null,null
user_auth_providers,user_auth_providers_unique,UNIQUE,provider_uid,null,null,null
user_auth_providers,user_auth_providers_unique,UNIQUE,provider,null,null,null
user_devices,35901_154591_1_not_null,CHECK,null,null,null,deviceid IS NOT NULL
user_devices,35901_154591_2_not_null,CHECK,null,null,null,userid IS NOT NULL
user_devices,35901_154591_3_not_null,CHECK,null,null,null,push_token IS NOT NULL
user_devices,35901_154591_4_not_null,CHECK,null,null,null,platform IS NOT NULL
user_devices,35901_154591_5_not_null,CHECK,null,null,null,token_type IS NOT NULL
user_devices,35901_154591_6_not_null,CHECK,null,null,null,is_active IS NOT NULL
user_devices,35901_154591_7_not_null,CHECK,null,null,null,last_seen_at IS NOT NULL
user_devices,35901_154591_8_not_null,CHECK,null,null,null,created_at IS NOT NULL
user_devices,user_devices_platform_check,CHECK,null,null,null,"(platform = ANY (ARRAY['android'::text, 'ios'::text, 'web'::text]))"
user_devices,user_devices_token_type_check,CHECK,null,null,null,"(token_type = ANY (ARRAY['expo'::text, 'fcm'::text, 'apns'::text]))"
user_devices,user_devices_userid_fkey,FOREIGN KEY,userid,users,userid,null
user_devices,user_devices_pkey,PRIMARY KEY,deviceid,null,null,null
user_devices,user_devices_push_token_key,UNIQUE,push_token,null,null,null
user_tokens,35901_58837_1_not_null,CHECK,null,null,null,tokenid IS NOT NULL
user_tokens,35901_58837_2_not_null,CHECK,null,null,null,userid IS NOT NULL
user_tokens,35901_58837_4_not_null,CHECK,null,null,null,refresh_token_hash IS NOT NULL
user_tokens,35901_58837_5_not_null,CHECK,null,null,null,access_token_expires_at IS NOT NULL
user_tokens,35901_58837_6_not_null,CHECK,null,null,null,refresh_token_expires_at IS NOT NULL
user_tokens,35901_58837_8_not_null,CHECK,null,null,null,is_revoked IS NOT NULL
user_tokens,35901_58837_9_not_null,CHECK,null,null,null,created_at IS NOT NULL
user_tokens,user_tokens_userid_fkey,FOREIGN KEY,userid,users,userid,null
user_tokens,user_tokens_pkey,PRIMARY KEY,tokenid,null,null,null
userinfo,35901_48625_1_not_null,CHECK,null,null,null,infoid IS NOT NULL
userinfo,35901_48625_2_not_null,CHECK,null,null,null,userid IS NOT NULL
userinfo,userinfo_userid_fkey,FOREIGN KEY,userid,users,userid,null
userinfo,userinfo_pkey,PRIMARY KEY,infoid,null,null,null
userinfo,userinfo_contactnumber_key,UNIQUE,contactnumber,null,null,null
userinfo,userinfo_email_key,UNIQUE,email,null,null,null
userlogin,35901_48859_1_not_null,CHECK,null,null,null,loginid IS NOT NULL
userlogin,35901_48859_2_not_null,CHECK,null,null,null,userid IS NOT NULL
userlogin,userlogin_userid_fkey,FOREIGN KEY,userid,users,userid,null
userlogin,userlogin_pkey,PRIMARY KEY,loginid,null,null,null
userlogin,userlogin_username_key,UNIQUE,username,null,null,null
users,35901_36012_1_not_null,CHECK,null,null,null,userid IS NOT NULL
users,35901_36012_2_not_null,CHECK,null,null,null,role IS NOT NULL
users,users_pkey,PRIMARY KEY,userid,null,null,null
